source_path_or_object_class,legacy_token_family,legacy_meaning,target_codex_concept,support_disposition,lossiness_class,provenance_requirement,validation_requirement,downstream_owner,notes
/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_classes.lst,BONUS / DEFINE / VAR progression formulas,"Encodes class math such as BAB, saves, and level-derived variables.",GE-02 formula/effect model,deferred,high-risk,Preserve full formula text and the variable names it binds.,Pilot class progression math remains explainable and testable after migration.,GE-02 + GE-04,Grounded in cr_classes.lst lines 139-141 and cr_abilities_class.lst lines 253-256.
/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_abilities.lst,CSKILL assignments,Maps skill objects into class-skill packages and internal ability carriers.,GE-02 skill relation / effect model,partial,medium-risk,"Preserve source path, owning class/ability, and skill targets.",Pilot class-skill sets can be reconstructed without ad hoc lookup tables.,GE-02 + GE-03 + GE-04,Grounded in cr_abilities.lst lines 567 and 570 and cr_abilities_class.lst line 2835.
/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_equip_arms_armor.lst,PROFICIENCY token on equipment,Links an equipment record to the proficiency a character must possess.,GE-02 equipment-to-proficiency reference,partial,medium-risk,"Preserve equipment owner, proficiency target, and source line.",Equipment and proficiency catalogs remain linked after import.,GE-02 + GE-03,Grounded in cr_equip_arms_armor.lst lines 40 and 165.
/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_essentials/races/human/human_races.lst + cr_abilities_race.lst,Human race ABILITY indirection + racial trait carrier rows,"The Human race entry points at a separate carrier bundle for bonus feat, skilled, languages, speed, and size semantics.",GE-02 race object + race-trait effect set,partial,medium-risk,Preserve the Human entry plus linked race-trait carrier names and source lines.,Human retains separate trait-level explainability instead of collapsing all racial semantics into one opaque field.,GE-02 + GE-03 + GE-04,Grounded in human_races.lst line 6 and cr_abilities_race.lst lines 134-139.
/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_profs_armor.lst,ARMORPROF object catalog,Enumerates armor proficiency member names consumed by feats and equipment references.,GE-02 proficiency catalog,deferred,none-expected,Preserve file path and catalog member names for each armor proficiency grouping.,Armor feats and armor equipment can resolve to the same grouped proficiency concepts.,GE-02 + GE-03,Grounded in cr_profs_armor.lst lines 7-29.
/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_profs_shield.lst,SHIELDPROF object catalog,Enumerates shield proficiency member names consumed by feats and equipment references.,GE-02 proficiency catalog,deferred,none-expected,Preserve file path and catalog member names for each shield proficiency grouping.,Shield feats and shield equipment can resolve to the same grouped proficiency concepts.,GE-02 + GE-03,Grounded in cr_profs_shield.lst lines 7-11.
/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_feats.lst,CHOOSE / MULT martial weapon proficiency feat grant,Defines a repeatable choice-driven proficiency grant over the martial weapon catalog via CHOOSE and AUTO tokens.,GE-02 choice-enabled proficiency grant model,partial,high-risk,"Preserve the CHOOSE expression, MULT flag, and AUTO grant target from the original feat line.",A chosen martial weapon proficiency remains distinguishable from blanket proficiency grants.,GE-02 + GE-03 + GE-04,Grounded in cr_feats.lst line 120.
/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_essentials/races/human/human_races.lst,STARTFEATS token on Human race,Embeds a starting-feat entitlement directly on the race declaration.,GE-02 character-creation entitlement model,partial,medium-risk,"Preserve race owner, starting-feat count, and the source line.",Human starting-feat entitlement remains explicit and auditable in the canonical model.,GE-02 + GE-04,Grounded in human_races.lst line 6.
/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_abilities_class.lst#Class Skills ~ Fighter,CSKILL class-skill carrier for Fighter,Names Fighter class-skill membership through an internal ability object rather than only on the class line.,GE-02 class-to-skill relation model,partial,medium-risk,"Preserve source line, owning class key, and each skill/type target in the CSKILL list.",Fighter class-skill list can be reconstructed without scanning prose or hardcoding class names.,GE-02 + GE-03 + GE-04,Grounded in cr_abilities_class.lst line 2835.
/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_skills.lst,SKILL object schema with KEYSTAT/ACHECK/class-skill predicates,"Defines skill rows, governing stats, armor-check behavior, source pages, and conditional class-skill bonus mechanics.",GE-02 skill object + skill-check rule model,partial,high-risk,"Preserve skill name, KEYSTAT, ACHECK, TYPE tags, source page, and bonus predicates.",Representative Fighter skills such as Climb and Intimidate retain governing stats and class-skill bonus behavior.,GE-02 + GE-03 + GE-04,Grounded in cr_skills.lst lines 6-10 and 40-45.
/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr__stats.lst,STATMOD / MODIFY base stat formula surface,"Defines six base stats, score-to-modifier formulas, and derived variables used across combat, saves, skills, languages, and HP.",GE-02 stat/formula foundation model,deferred,high-risk,"Preserve stat keys, abbreviations, STATMOD formulas, MODIFY bindings, and major derived variables.",A Codex model can explain how STR/DEX/CON/INT/WIS/CHA modifiers are calculated and consumed.,GE-02 + GE-04,Grounded in cr__stats.lst lines 3-9.
/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr__saves.lst + cr_classes.lst#Fighter,SAVE object plus Fighter save progression formulas,Saves bind Fortitude/Reflex/Will to ability scores while Fighter class formulas supply good/poor progression.,GE-02 save/progression model,partial,high-risk,"Preserve save objects, stat bindings, Fighter progression expressions, and alternate/fractional progression gates.",Fighter Fortitude/Reflex/Will base save behavior remains explainable and testable.,GE-02 + GE-04,Grounded in cr__saves.lst lines 3-6 and cr_classes.lst line 139.
/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_essentials/races/human/human_abilities_race.lst + human_abilities_globalvar.lst,Human default racial traits and replacement gates,"Human traits are separately defined, automatically granted, and conditionally removed/replaced via PREFACT/boolean variables.",GE-02 race-trait composition and override model,partial,high-risk,"Preserve trait definitions, grantor rows, replacement flags, and PREFACT gates.",Human default traits can be shown as individual default traits and overridden independently.,GE-02 + GE-03 + GE-04,Grounded in human_abilities_race.lst lines 18-23 and human_abilities_globalvar.lst lines 10-24.
/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_essentials/races/human/human_templates.lst,Human template/subtype identity surface,Template rows apply hidden Human identity facts and race subtype markers separate from the visible Human race entry.,GE-02 race identity/subtype metadata model,deferred,medium-risk,"Preserve template key, IsHuman fact, and RACESUBTYPE markers if retained in canonical model.",Human identity/subtype semantics are not lost when converting only the visible race row.,GE-02 + GE-03,Grounded in human_templates.lst lines 4-18.
/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_equip_arms_armor.lst,PROFICIENCY:ARMOR / PROFICIENCY:SHIELD equipment references plus armor/shield mechanics,"Armor and shield equipment rows bind equipment to proficiency targets and carry AC, armor-check, max-Dex, spell-failure, weight, and cost fields.",GE-02 equipment object + equipment-proficiency reference model,partial,medium-risk,"Preserve equipment owner, proficiency reference, mechanical fields, and source page.",Chain Shirt and shield-like equipment can resolve proficiency requirements and mechanical fields from canonical data.,GE-02 + GE-03 + GE-04,Grounded in cr_equip_arms_armor.lst lines 37-48 and 109-114.
/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_classes.lst#Fighter,STARTSKILLPTS on Fighter class,Declares Fighter starting skill point budget through a variable-backed class formula rather than a literal integer.,GE-02 class initialization + skill-point budget model,partial,high-risk,"Preserve class owner, STARTSKILLPTS expression, DEFINE/BONUS dependency chain, and source line.","Level 1 Fighter skill-point budget can be reconstructed from canonical data, with Human Skilled bonus applied separately.",GE-02 + GE-03 + GE-04,Grounded in cr_classes.lst line 141.
/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_essentials/races/human/human_abilities_race.lst,ABILITYPOOL choice pools on Human racial traits,Allocates selectable pools for the Human bonus feat and the one-ability-score racial bonus.,GE-02 choice/pool entitlement model,partial,high-risk,"Preserve owning trait row, pool kind, pool count, replacement gates, and source lines.",Human bonus feat and ability-score choice remain explicit entitlements rather than hidden side effects.,GE-02 + GE-03 + GE-04,Grounded in human_abilities_race.lst lines 18 and 21.
/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_abilities_class.lst + /home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_essentials/races/human/human_abilities_globalvar.lst + /home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_equip_arms_armor.lst,PREVARGTEQ / PREVAREQ / PREFACT predicate gates,"Gates whether class-feature modifiers, equipment bonuses, or Human trait replacements apply.",GE-02 predicate/guard model,deferred,high-risk,"Preserve full predicate expression, owning row, referenced vars/facts, and source lines.",Guarded behavior remains distinguishable from unconditional grants or bonuses.,GE-02 + GE-03 + GE-04,"Grounded in cr_abilities_class.lst lines 236-262, human_abilities_globalvar.lst lines 10-24, and cr_equip_arms_armor.lst lines 37-48 and 109-114."
/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_equip_arms_armor.lst,PROFICIENCY:ARMOR / PROFICIENCY:SHIELD direct equipment references,Links armor and shield equipment rows to required proficiency catalog members.,GE-02 equipment object + proficiency reference model,partial,medium-risk,"Preserve equipment owner, proficiency token, target catalog member, and source lines.",Armor and shield items can resolve proficiency requirements without hardcoded lookup tables.,GE-02 + GE-03 + GE-04,Grounded in cr_equip_arms_armor.lst lines 37-48 and 109-114.
