POOL|Sorcerer Bloodline|selections 53|linked+held 30|lines before 9800|lines after 1040|linked lines: held 6938, NOT-HELD 1822, no converted member rule 0|unlinked lines still printed 1040
LINE|Sorcerer|Abyssal Bloodline|4|Abyssal Bloodline ~ Demonic Might|AcidResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|4|Abyssal Bloodline ~ Demonic Might|ColdResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|4|Abyssal Bloodline ~ Demonic Might|FireResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|4|Abyssal Bloodline ~ Demonic Might|TelepathyRange|-40|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|4|Abyssal Bloodline ~ Strength of the Abyss|Sorcerer_AbyssalStrengthOfTheAbyss_StrBonus|0|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|5|Abyssal Bloodline ~ Claws|Sorcerer_GenericClaws_SizeBonus|1|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|5|Abyssal Bloodline ~ Demonic Might|AcidResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|5|Abyssal Bloodline ~ Demonic Might|ColdResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|5|Abyssal Bloodline ~ Demonic Might|FireResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|5|Abyssal Bloodline ~ Demonic Might|TelepathyRange|-40|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|5|Abyssal Bloodline ~ Strength of the Abyss|Sorcerer_AbyssalStrengthOfTheAbyss_StrBonus|1|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|6|Abyssal Bloodline ~ Claws|Sorcerer_GenericClaws_SizeBonus|1|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|6|Abyssal Bloodline ~ Demonic Might|AcidResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|6|Abyssal Bloodline ~ Demonic Might|ColdResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|6|Abyssal Bloodline ~ Demonic Might|FireResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|6|Abyssal Bloodline ~ Demonic Might|TelepathyRange|-40|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|6|Abyssal Bloodline ~ Strength of the Abyss|Sorcerer_AbyssalStrengthOfTheAbyss_StrBonus|1|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|7|Abyssal Bloodline ~ Demonic Might|AcidResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|7|Abyssal Bloodline ~ Demonic Might|ColdResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|7|Abyssal Bloodline ~ Demonic Might|FireResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|7|Abyssal Bloodline ~ Demonic Might|TelepathyRange|-40|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|7|Abyssal Bloodline ~ Strength of the Abyss|Sorcerer_AbyssalStrengthOfTheAbyss_StrBonus|2|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|8|Abyssal Bloodline ~ Demonic Might|AcidResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|8|Abyssal Bloodline ~ Demonic Might|ColdResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|8|Abyssal Bloodline ~ Demonic Might|FireResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|8|Abyssal Bloodline ~ Demonic Might|TelepathyRange|-40|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|8|Abyssal Bloodline ~ Strength of the Abyss|Sorcerer_AbyssalStrengthOfTheAbyss_StrBonus|2|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|9|Abyssal Bloodline ~ Demonic Might|AcidResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|9|Abyssal Bloodline ~ Demonic Might|ColdResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|9|Abyssal Bloodline ~ Demonic Might|FireResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|9|Abyssal Bloodline ~ Demonic Might|TelepathyRange|-40|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|10|Abyssal Bloodline ~ Demonic Might|AcidResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|10|Abyssal Bloodline ~ Demonic Might|ColdResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|10|Abyssal Bloodline ~ Demonic Might|FireResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|10|Abyssal Bloodline ~ Demonic Might|TelepathyRange|-40|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|11|Abyssal Bloodline ~ Demonic Might|AcidResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|11|Abyssal Bloodline ~ Demonic Might|ColdResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|11|Abyssal Bloodline ~ Demonic Might|FireResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|11|Abyssal Bloodline ~ Demonic Might|TelepathyRange|-40|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|12|Abyssal Bloodline ~ Demonic Might|AcidResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|12|Abyssal Bloodline ~ Demonic Might|ColdResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|12|Abyssal Bloodline ~ Demonic Might|FireResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|12|Abyssal Bloodline ~ Demonic Might|TelepathyRange|-40|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|13|Abyssal Bloodline ~ Demonic Might|AcidResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|13|Abyssal Bloodline ~ Demonic Might|ColdResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|13|Abyssal Bloodline ~ Demonic Might|FireResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|13|Abyssal Bloodline ~ Demonic Might|TelepathyRange|-40|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|14|Abyssal Bloodline ~ Demonic Might|AcidResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|14|Abyssal Bloodline ~ Demonic Might|ColdResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|14|Abyssal Bloodline ~ Demonic Might|FireResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|14|Abyssal Bloodline ~ Demonic Might|TelepathyRange|-40|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|15|Abyssal Bloodline ~ Demonic Might|AcidResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|15|Abyssal Bloodline ~ Demonic Might|ColdResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|15|Abyssal Bloodline ~ Demonic Might|FireResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|15|Abyssal Bloodline ~ Demonic Might|TelepathyRange|-40|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|16|Abyssal Bloodline ~ Demonic Might|AcidResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|16|Abyssal Bloodline ~ Demonic Might|ColdResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|16|Abyssal Bloodline ~ Demonic Might|FireResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|16|Abyssal Bloodline ~ Demonic Might|TelepathyRange|-40|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|17|Abyssal Bloodline ~ Demonic Might|AcidResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|17|Abyssal Bloodline ~ Demonic Might|ColdResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|17|Abyssal Bloodline ~ Demonic Might|FireResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|17|Abyssal Bloodline ~ Demonic Might|TelepathyRange|-40|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|18|Abyssal Bloodline ~ Demonic Might|AcidResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|18|Abyssal Bloodline ~ Demonic Might|ColdResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|18|Abyssal Bloodline ~ Demonic Might|FireResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|18|Abyssal Bloodline ~ Demonic Might|TelepathyRange|-40|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|19|Abyssal Bloodline ~ Demonic Might|AcidResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|19|Abyssal Bloodline ~ Demonic Might|ColdResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|19|Abyssal Bloodline ~ Demonic Might|FireResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|19|Abyssal Bloodline ~ Demonic Might|TelepathyRange|-40|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|1|Accursed Bloodline ~ Dread Gaze|Sorcerer_AccursedDreadGaze_DC|10|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|1|Accursed Bloodline ~ Dread Gaze|Sorcerer_AccursedDreadGaze_Duration|1|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|1|Accursed Bloodline ~ Dread Gaze|Sorcerer_AccursedDreadGaze_Times|1|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|1|Accursed Bloodline ~ Dream Walking|Sorcerer_AccursedDreamWalking_Duration|1|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|1|Accursed Bloodline ~ Dream Walking|Sorcerer_AccursedDreamWalking_Times|1|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|1|Accursed Bloodline ~ Fearsome Survival|Sorcerer_AccursedFearsomeSurvival_DR|10|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|1|Accursed Bloodline ~ Fearsome Survival|Sorcerer_AccursedFearsomeSurvival_SR|8|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|1|Accursed Bloodline ~ Wretched Endurance|Sorcerer_AccursedWretchedEndurance_SaveBonus|0|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|2|Accursed Bloodline ~ Dread Gaze|Sorcerer_AccursedDreadGaze_DC|11|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|2|Accursed Bloodline ~ Dread Gaze|Sorcerer_AccursedDreadGaze_Duration|2|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|2|Accursed Bloodline ~ Dread Gaze|Sorcerer_AccursedDreadGaze_Times|1|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|2|Accursed Bloodline ~ Dream Walking|Sorcerer_AccursedDreamWalking_Duration|2|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|2|Accursed Bloodline ~ Dream Walking|Sorcerer_AccursedDreamWalking_Times|1|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|2|Accursed Bloodline ~ Fearsome Survival|Sorcerer_AccursedFearsomeSurvival_DR|10|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|2|Accursed Bloodline ~ Fearsome Survival|Sorcerer_AccursedFearsomeSurvival_SR|10|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|2|Accursed Bloodline ~ Wretched Endurance|Sorcerer_AccursedWretchedEndurance_SaveBonus|0|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|3|Accursed Bloodline ~ Dread Gaze|Sorcerer_AccursedDreadGaze_DC|12|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|3|Accursed Bloodline ~ Dread Gaze|Sorcerer_AccursedDreadGaze_Duration|3|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|3|Accursed Bloodline ~ Dread Gaze|Sorcerer_AccursedDreadGaze_Times|1|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|3|Accursed Bloodline ~ Dream Walking|Sorcerer_AccursedDreamWalking_Duration|3|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|3|Accursed Bloodline ~ Dream Walking|Sorcerer_AccursedDreamWalking_Times|1|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|3|Accursed Bloodline ~ Fearsome Survival|Sorcerer_AccursedFearsomeSurvival_DR|10|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|3|Accursed Bloodline ~ Fearsome Survival|Sorcerer_AccursedFearsomeSurvival_SR|12|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|4|Accursed Bloodline ~ Dread Gaze|Sorcerer_AccursedDreadGaze_DC|13|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|4|Accursed Bloodline ~ Dread Gaze|Sorcerer_AccursedDreadGaze_Duration|4|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|4|Accursed Bloodline ~ Dread Gaze|Sorcerer_AccursedDreadGaze_Times|1|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|4|Accursed Bloodline ~ Dream Walking|Sorcerer_AccursedDreamWalking_Duration|4|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|4|Accursed Bloodline ~ Dream Walking|Sorcerer_AccursedDreamWalking_Times|1|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|4|Accursed Bloodline ~ Fearsome Survival|Sorcerer_AccursedFearsomeSurvival_DR|10|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|4|Accursed Bloodline ~ Fearsome Survival|Sorcerer_AccursedFearsomeSurvival_SR|14|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|5|Accursed Bloodline ~ Dread Gaze|Sorcerer_AccursedDreadGaze_DC|14|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|5|Accursed Bloodline ~ Dread Gaze|Sorcerer_AccursedDreadGaze_Duration|5|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|5|Accursed Bloodline ~ Dread Gaze|Sorcerer_AccursedDreadGaze_Times|1|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|5|Accursed Bloodline ~ Dream Walking|Sorcerer_AccursedDreamWalking_Duration|5|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|5|Accursed Bloodline ~ Dream Walking|Sorcerer_AccursedDreamWalking_Times|1|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|5|Accursed Bloodline ~ Fearsome Survival|Sorcerer_AccursedFearsomeSurvival_DR|10|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|5|Accursed Bloodline ~ Fearsome Survival|Sorcerer_AccursedFearsomeSurvival_SR|16|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|6|Accursed Bloodline ~ Dread Gaze|Sorcerer_AccursedDreadGaze_DC|15|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|6|Accursed Bloodline ~ Dread Gaze|Sorcerer_AccursedDreadGaze_Duration|6|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|6|Accursed Bloodline ~ Dread Gaze|Sorcerer_AccursedDreadGaze_Times|1|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|6|Accursed Bloodline ~ Dream Walking|Sorcerer_AccursedDreamWalking_Duration|6|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|6|Accursed Bloodline ~ Dream Walking|Sorcerer_AccursedDreamWalking_Times|1|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|6|Accursed Bloodline ~ Fearsome Survival|Sorcerer_AccursedFearsomeSurvival_DR|10|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|6|Accursed Bloodline ~ Fearsome Survival|Sorcerer_AccursedFearsomeSurvival_SR|18|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|7|Accursed Bloodline ~ Dread Gaze|Sorcerer_AccursedDreadGaze_DC|16|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|7|Accursed Bloodline ~ Dread Gaze|Sorcerer_AccursedDreadGaze_Duration|7|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|7|Accursed Bloodline ~ Dread Gaze|Sorcerer_AccursedDreadGaze_Times|1|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|7|Accursed Bloodline ~ Dream Walking|Sorcerer_AccursedDreamWalking_Duration|7|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|7|Accursed Bloodline ~ Dream Walking|Sorcerer_AccursedDreamWalking_Times|1|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|7|Accursed Bloodline ~ Fearsome Survival|Sorcerer_AccursedFearsomeSurvival_DR|10|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|7|Accursed Bloodline ~ Fearsome Survival|Sorcerer_AccursedFearsomeSurvival_SR|20|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|8|Accursed Bloodline ~ Dread Gaze|Sorcerer_AccursedDreadGaze_DC|17|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|8|Accursed Bloodline ~ Dread Gaze|Sorcerer_AccursedDreadGaze_Duration|8|NOT-HELD
LINE|Sorcerer|Accursed Bloodline|8|Accursed Bloodline ~ Dread Gaze|Sorcerer_AccursedDreadGaze_Times|1|NOT-HELD
